unix,date,time,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1.62328E+12,09-06-21,22:00:00,SOL/USDT,42.055,42.782,41.947,42.418,194364.205,8224456.604,16609
1.62327E+12,09-06-21,21:00:00,SOL/USDT,41.999,42.538,41.733,42.081,136867.954,5768744.02,12819
1.62327E+12,09-06-21,20:00:00,SOL/USDT,41.748,42.24,41.523,42.003,167560.2,7001025.731,11094
1.62327E+12,09-06-21,19:00:00,SOL/USDT,41.34,41.945,41.061,41.748,181739.238,7552718.888,12930
1.62326E+12,09-06-21,18:00:00,SOL/USDT,41.524,41.9,40.967,41.341,305461.536,12638515.42,22922
1.62326E+12,09-06-21,17:00:00,SOL/USDT,42.203,42.495,41.288,41.516,485446.939,20353831.99,30112
1.62325E+12,09-06-21,16:00:00,SOL/USDT,42.522,43.173,41.863,42.196,544181.402,23167286.61,35768
1.62325E+12,09-06-21,15:00:00,SOL/USDT,41.662,43.486,41.635,42.536,774997.206,33082894.5,50722
1.62325E+12,09-06-21,14:00:00,SOL/USDT,42.59,43.35,41.322,41.658,529073.347,22484213.96,34430
1.62324E+12,09-06-21,13:00:00,SOL/USDT,42.705,43,42.014,42.6,588685.397,25011963.61,31478
1.62324E+12,09-06-21,12:00:00,SOL/USDT,43.563,44,42.453,42.716,600795.091,25966138.19,38344
1.62324E+12,09-06-21,11:00:00,SOL/USDT,42.84,43.9,42.607,43.551,422187.381,18292646.43,29591
1.62323E+12,09-06-21,10:00:00,SOL/USDT,42.519,43.49,42.332,42.831,368983.894,15852161.86,28103
1.62323E+12,09-06-21,09:00:00,SOL/USDT,42.436,43.595,42.266,42.505,432187.971,18557180.83,34139
1.62323E+12,09-06-21,08:00:00,SOL/USDT,42.992,43.466,42.049,42.436,666937.445,28469788.19,45883
1.62322E+12,09-06-21,07:00:00,SOL/USDT,43.532,43.843,42.624,42.979,509275.751,22008059.72,38979
1.62322E+12,09-06-21,06:00:00,SOL/USDT,41.981,43.984,41.9,43.535,798532.977,34445290.2,62147
1.62321E+12,09-06-21,05:00:00,SOL/USDT,41.441,42.549,41.16,41.987,571566.335,23989406.45,43016
1.62321E+12,09-06-21,04:00:00,SOL/USDT,40.566,41.498,39.63,41.441,424954.766,17249484.64,26321
1.62321E+12,09-06-21,03:00:00,SOL/USDT,40.768,40.995,39.898,40.577,344623.909,13947524.7,20094
1.6232E+12,09-06-21,02:00:00,SOL/USDT,40.353,41,39.291,40.77,474549.175,19082591.68,30439
1.6232E+12,09-06-21,01:00:00,SOL/USDT,40.679,41.783,40.097,40.356,401836.42,16478033.87,25623
1.6232E+12,09-06-21,00:00:00,SOL/USDT,41.245,41.632,39.9,40.667,623898.113,25388737.75,37054
1.62319E+12,08-06-21,23:00:00,SOL/USDT,41.455,42.339,41.078,41.245,357167.387,14896885.14,21921
1.62319E+12,08-06-21,22:00:00,SOL/USDT,40.965,42.596,40.929,41.498,523732.248,21906583.84,36160
1.62319E+12,08-06-21,21:00:00,SOL/USDT,41.949,42.181,40.743,40.967,531999.357,22080222.5,38010
1.62318E+12,08-06-21,20:00:00,SOL/USDT,41.145,42.2,40.013,41.959,917589.799,37840418.59,59793
1.62318E+12,08-06-21,19:00:00,SOL/USDT,39.93,41.444,39.272,41.145,747598.614,30046345.05,49797
1.62318E+12,08-06-21,18:00:00,SOL/USDT,37.999,40.205,37.9,39.95,1082520.728,42271315.23,64407
1.62317E+12,08-06-21,17:00:00,SOL/USDT,37.35,38,36.631,38,480270.207,17890843.31,25326
1.62317E+12,08-06-21,16:00:00,SOL/USDT,36.665,38.5,36.5,37.35,1221827.419,45856122.98,69307
1.62316E+12,08-06-21,15:00:00,SOL/USDT,34.863,37,33.6,36.683,1212342.268,42680985.6,67333
1.62316E+12,08-06-21,14:00:00,SOL/USDT,35.8,36.434,34.38,34.863,1184826.906,41939431.47,60959
1.62316E+12,08-06-21,13:00:00,SOL/USDT,36.778,37.126,35.672,35.813,761129.864,27614790.15,31722
1.62315E+12,08-06-21,12:00:00,SOL/USDT,37.26,37.5,36.173,36.765,408315.209,14987448.3,20559
1.62315E+12,08-06-21,11:00:00,SOL/USDT,35.7,37.5,35.45,37.25,548114.902,20019395.86,31138
1.62315E+12,08-06-21,10:00:00,SOL/USDT,35.99,36.946,35.403,35.697,454065.299,16411391.96,27174
1.62314E+12,08-06-21,09:00:00,SOL/USDT,36.818,37.181,35.626,35.996,501650.961,18257990.59,28188
1.62314E+12,08-06-21,08:00:00,SOL/USDT,36.809,38.154,36.688,36.799,650154.796,24402647.59,33120
1.62314E+12,08-06-21,07:00:00,SOL/USDT,35.319,37.372,34.711,36.796,1090495.382,39396938.99,65171
1.62313E+12,08-06-21,06:00:00,SOL/USDT,36.319,36.332,35.23,35.322,447416.766,16100902.72,22370
1.62313E+12,08-06-21,05:00:00,SOL/USDT,37.581,37.65,35.634,36.324,801550.04,29115714.24,36761
1.62312E+12,08-06-21,04:00:00,SOL/USDT,37.502,38.09,36.812,37.584,547968.839,20565680.33,28058
1.62312E+12,08-06-21,03:00:00,SOL/USDT,36.414,37.683,35.213,37.519,753485.802,27535368.72,41037
