unix,date,time,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1.61602E+12,17-03-21,23:00:00,USDC/USDT,0.9995,0.9998,0.9994,0.9997,3128765.49,3127374.615,1571
1.61602E+12,17-03-21,22:00:00,USDC/USDT,0.9997,0.9998,0.9994,0.9995,4951184.51,4948994.436,3998
1.61601E+12,17-03-21,21:00:00,USDC/USDT,0.9994,1.0001,0.9991,0.9998,8851891.99,8849006.71,3878
1.61601E+12,17-03-21,20:00:00,USDC/USDT,0.9995,0.9995,0.9993,0.9994,6856510.51,6852490.556,3075
1.61601E+12,17-03-21,19:00:00,USDC/USDT,0.9996,0.9996,0.9993,0.9995,16572820.59,16564345.4,5190
1.616E+12,17-03-21,18:00:00,USDC/USDT,0.9998,1.0005,0.9992,0.9996,15450418.96,15443950.04,5018
1.616E+12,17-03-21,17:00:00,USDC/USDT,0.9999,1.0005,0.9998,0.9998,8145457.04,8146262.485,2236
1.616E+12,17-03-21,16:00:00,USDC/USDT,0.9996,1.0005,0.9996,0.9999,3269686.04,3269090.156,1564
1.61599E+12,17-03-21,15:00:00,USDC/USDT,0.9997,1,0.9996,0.9997,3986604.9,3985345.649,1796
1.61599E+12,17-03-21,14:00:00,USDC/USDT,0.9999,1.0005,0.9996,0.9997,6083808.91,6083096.781,2334
1.61599E+12,17-03-21,13:00:00,USDC/USDT,1,1.0001,0.9998,1,3500958.61,3500754.534,1685
1.61598E+12,17-03-21,12:00:00,USDC/USDT,1,1.0002,0.9995,1,6525036.89,6524157.622,2264
1.61598E+12,17-03-21,11:00:00,USDC/USDT,0.9999,1.0001,0.9999,1,3289110.47,3289176.918,973
1.61598E+12,17-03-21,10:00:00,USDC/USDT,0.9999,1,0.9998,1,3529646.2,3529293.823,1340
1.61597E+12,17-03-21,09:00:00,USDC/USDT,1.0001,1.0002,0.9998,0.9998,5020086.16,5020201.631,1957
1.61597E+12,17-03-21,08:00:00,USDC/USDT,0.9999,1.0004,0.9997,1.0001,4965869.57,4966097.711,1524
1.61596E+12,17-03-21,07:00:00,USDC/USDT,0.9999,1.0001,0.9998,0.9999,5391910.86,5391552.067,1746
1.61596E+12,17-03-21,06:00:00,USDC/USDT,1,1.0001,0.9997,0.9999,4158876.78,4158306.326,1669
1.61596E+12,17-03-21,05:00:00,USDC/USDT,0.9999,1.0001,0.9998,1,2467505,2467371.283,947
1.61595E+12,17-03-21,04:00:00,USDC/USDT,0.9998,1,0.9997,0.9999,3397172.31,3396594.726,2287
1.61595E+12,17-03-21,03:00:00,USDC/USDT,0.9997,0.9998,0.9997,0.9998,1120173.42,1119876.193,737
